IP,Risk_Score,CVSS_v4_Rating,User_Agents,Ports,Device_Types,HTTP_Methods,Location,Suspicious_URIs,Attack_Patterns,OWASP_Top_10,Total_Requests,Unique_URIs,ratio
128.124.85.163,425,5.6,36 unique User-Agents,88 unique ports,"desktop,mobile","GET,POST,PATCH",Netherlands,"/api/*,/auth/*,/admin/*","API exploitation, Auth bypass, Admin access","A03:2021-Injection, A01:2021-Broken Access Control, A07:2021-Authentication Failures",45,43,"1,0"
13.235.167.220,170.00,5.6,44,106,"desktop,mobile,tablet","GET,POST,OPTIONS",US,,"UA manipulation,Port scanning",A7:2021-Authentication Failures,107,43,"2,5"
157.226.241.234,167.00,5.6,39,108,"tablet,desktop","GET,POST",US,,"UA switching,Port scanning",A7:2021-Authentication Failures,108,42,"2,6"
53.153.77.110,175,5.6,Mozilla/5.0 (various browsers)|Android|iPhone|Macintosh,Random high ports (5744-65360),desktop,POST,India,"/admin/config.php,/.../system/etc","XSS attempts, Directory traversal","A03:2021-Injection, A01:2021-Broken Access Control",156,2,"78,0"
57.112.34.158,161.50,5.6,38,104,"tablet,desktop,mobile","GET,POST,PATCH,OPTIONS",US,,"UA manipulation,Suspicious methods",A7:2021-Authentication Failures,104,45,"2,3"
98.197.20.168,160.50,5.6,44,102,"desktop,mobile,tablet","GET,POST,PUT,OPTIONS",US,,"UA spoofing,Suspicious methods",A7:2021-Authentication Failures,103,40,"2,6"
117.200.193.5,172.50,5.5,38,104,"desktop,tablet,mobile","OPTIONS,GET,POST",US,,"UA spoofing,Port scanning",A7:2021-Authentication Failures,105,37,"2,8"
157.185.92.131,55,5.5,"Python-urllib,curl,Postman","80,443,8443",server,"GET,POST",eu,"/wp-admin,/install.php,/setup","ADMIN_ACCESS_ATTEMPT,DANGEROUS_METHODS","A01:2021-Broken Access Control,A04:2021-Insecure Design",234,32,"7,3"
175.192.234.123,55,5.5,"Custom Tool,Nikto,Postman","80,443",server,"GET,POST,OPTIONS",eu,"/wp-admin,/install.php,/setup","ADMIN_ACCESS_ATTEMPT,DANGEROUS_METHODS,SERVER_EXPLOIT_ATTEMPT","A01:2021-Broken Access Control,A04:2021-Insecure Design",276,39,"7,1"
177.192.245.147,55,5.5,"Custom Tool,Nikto,Postman","80,443",server,"GET,POST,OPTIONS",eu,"/wp-admin,/install.php,/setup","ADMIN_ACCESS_ATTEMPT,DANGEROUS_METHODS,SENSITIVE_FILE_ACCESS","A01:2021-Broken Access Control,A04:2021-Insecure Design",276,39,"7,1"
183.145.237.76,55,5.5,"Custom Tool,Nikto,Postman","80,443",server,"GET,POST,OPTIONS",eu,"/wp-admin,/install.php,/setup","ADMIN_ACCESS_ATTEMPT,DANGEROUS_METHODS,AUTH_MANIPULATION","A01:2021-Broken Access Control,A04:2021-Insecure Design",276,39,"7,1"
187.145.228.156,55,5.5,"Custom Tool,Nikto,Postman","80,443",server,"GET,POST,OPTIONS",eu,"/wp-admin,/install.php,/setup","CRITICAL_PATH_ACCESS,DANGEROUS_METHODS,AUTH_MANIPULATION","A01:2021-Broken Access Control,A04:2021-Insecure Design",276,42,"6,6"
187.58.154.169,445,5.5,42 unique User-Agents,82 unique ports,"desktop,mobile,tablet","GET,POST,OPTIONS",United States,"/system/*,/admin/*,/script/*","System access, Admin access, XSS attempts","A03:2021-Injection, A01:2021-Broken Access Control, A04:2021-Insecure Design",38,38,"1,0"
203.145.72.91,55,5.5,"Gobuster,Nikto","80,443",server,"GET,POST",as,"/administrator/components,/.git/","SENSITIVE_FILE_ACCESS,DANGEROUS_METHODS","A05:2021-Security Misconfiguration,A04:2021-Insecure Design",276,38,"7,3"
219.174.86.216,161.00,5.5,44,98,"desktop,mobile,tablet","GET,OPTIONS,POST,PUT",US,,"Multiple UA patterns,Suspicious methods",A7:2021-Authentication Failures,98,37,"2,6"
23.159.246.188,160.00,5.5,38,101,"tablet,desktop,mobile","GET,OPTIONS,POST",US,,"UA manipulation,Port scanning",A7:2021-Authentication Failures,103,40,"2,6"
26.249.70.42,167.50,5.5,36,103,"desktop,tablet,mobile","GET,POST",US,,"UA manipulation,Port scanning",A7:2021-Authentication Failures,104,35,"3,0"
56.172.84.231,169.50,5.5,41,105,"tablet,mobile,desktop","POST,GET,OPTIONS",US,,"UA switching,Port scanning",A7:2021-Authentication Failures,105,49,"2,1"
88.40.53.243,162.50,5.5,40,106,"desktop,tablet,mobile","GET,POST,OPTIONS",US,,"UA switching,Port scanning",A7:2021-Authentication Failures,106,39,"2,7"
11.148.137.128,172.50,5.4,41,109,"desktop,tablet,mobile","GET,POST,PATCH,OPTIONS,PUT",US,,"Multiple UA patterns,Suspicious methods",A7:2021-Authentication Failures,109,39,"2,8"
171.76.104.123,24.00,5.4,Mozilla/5.0 (multiple variations); Opera/8.30; Python-requests,"2243,2122,2268,2083,3048,2976,1690,4079,1950,34938","desktop,tablet","GET,POST",IN,,"Multiple UA switching,Port scanning,Device spoofing","A7:2021-Identification and Authentication Failures,A3:2021-Injection",96,11,"8,7"
7.113.8.157,160.00,5.4,41,103,"desktop,tablet,mobile","GET,POST,OPTIONS",US,,"Multiple UA patterns,Port scanning",A7:2021-Authentication Failures,103,40,"2,6"
162.187.235.104,50,5.0,"Nmap,wget,curl","80,443",server,"GET,POST",us,"/phpMyAdmin,/admin,/config","SENSITIVE_FILE_ACCESS,ADMIN_ACCESS_ATTEMPT","A05:2021-Security Misconfiguration,A01:2021-Broken Access Control",212,29,"7,3"
188.145.237.98,50,5.0,"Python-requests,curl,dirb","80,443,8443",desktop,"GET,POST",Multiple,"/phpMyAdmin,/admin,/config","SENSITIVE_FILE_ACCESS,ADMIN_ACCESS_ATTEMPT,INJECTION_ATTEMPT","A05:2021-Security Misconfiguration,A03:2021-Injection",254,36,"7,1"
195.234.167.89,50,5.0,"Python-requests,curl,dirb","80,443,8443",desktop,"GET,POST",Multiple,"/phpMyAdmin,/admin,/config","SENSITIVE_FILE_ACCESS,CRITICAL_PATH_ACCESS,INJECTION_ATTEMPT","A05:2021-Security Misconfiguration,A03:2021-Injection",254,38,"6,7"
199.192.234.158,50,5.0,"Python-requests,curl,dirb","80,443,8443",desktop,"GET,POST",Multiple,"/phpMyAdmin,/admin,/config","SENSITIVE_FILE_ACCESS,ADMIN_ACCESS_ATTEMPT,INJECTION_ATTEMPT","A05:2021-Security Misconfiguration,A03:2021-Injection",254,36,"7,1"
203.234.156.78,50,5.0,"Python-requests,curl,dirb","80,443,8443",desktop,"GET,POST",Multiple,"/phpMyAdmin,/admin,/config","SENSITIVE_FILE_ACCESS,ADMIN_ACCESS_ATTEMPT,INJECTION_ATTEMPT","A05:2021-Security Misconfiguration,A03:2021-Injection",254,36,"7,1"
168.145.239.76,45,4.5,"ZAP Scanner,wget,Custom Scanner","80,443",server,"GET,POST,HEAD",us,"/wp-login.php,/.git,/backup","SENSITIVE_FILE_ACCESS,DANGEROUS_METHODS,DATA_EXFILTRATION","A05:2021-Security Misconfiguration,A04:2021-Insecure Design",234,35,"6,7"
169.234.156.78,45,4.5,"ZAP Scanner,wget,Custom Scanner","80,443",server,"GET,POST,HEAD",us,"/wp-login.php,/.git,/backup","SENSITIVE_FILE_ACCESS,DANGEROUS_METHODS,DATA_EXFILTRATION","A05:2021-Security Misconfiguration,A04:2021-Insecure Design",234,32,"7,3"
172.234.167.95,45,4.5,"ZAP Scanner,wget,Custom Scanner","80,443",server,"GET,POST,HEAD",us,"/wp-login.php,/.git,/backup","SENSITIVE_FILE_ACCESS,DANGEROUS_METHODS,DATA_EXFILTRATION","A05:2021-Security Misconfiguration,A04:2021-Insecure Design",234,32,"7,3"
178.92.155.203,45,4.5,"Custom Scanner,ZAP,dirb","80,443,8080",desktop,"GET,POST",Multiple,"/wp-login.php,/.git,/backup","SENSITIVE_FILE_ACCESS,DANGEROUS_METHODS","A05:2021-Security Misconfiguration,A04:2021-Insecure Design",198,27,"7,3"
185.145.237.92,45,4.5,"ZAP Scanner,wget,Custom Scanner","80,443",server,"GET,POST,HEAD",us,"/wp-login.php,/.git,/backup","SENSITIVE_FILE_ACCESS,DANGEROUS_METHODS,FILE_ACCESS_ATTEMPT","A05:2021-Security Misconfiguration,A04:2021-Insecure Design",234,32,"7,3"
171.76.104.123,,4.0,"Mozilla/5.0 (Linux; Android 1.5) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/35.0.850.0 Safari/532.1; Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/531.30.5 (KHTML, like Gecko) Version/5.1 Safari/531.30.5; Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/52.0.813.0 Safari/536.0","2243, 2122, 2268, 2083, 3048","desktop, tablet","GET:23, POST:73",in,/administration/now/order,Suspicious URI Patterns; Port Scanning Activity,A03:2021-Injection; A05:2021-Security Misconfiguration; A01:2021-Broken Access Control,96,11,"8,7"
172.192.234.158,40,4.0,"Burp Suite,curl,Python-urllib","80,443,8080",desktop,"GET,POST",eu,"/admin/install,/config.php,/.env","CRITICAL_PATH_ACCESS,SENSITIVE_FILE_ACCESS,AUTH_MANIPULATION","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",212,32,"6,6"
188.168.245.123,40,4.0,"Burp Suite,curl,Python-urllib","80,443,8080",desktop,"GET,POST",eu,"/admin/install,/config.php,/.env","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,AUTH_MANIPULATION","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",212,29,"7,3"
193.168.245.132,40,4.0,"Burp Suite,curl,Python-urllib","80,443,8080",desktop,"GET,POST",eu,"/admin/install,/config.php,/.env","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT","A01:2021-Broken Access Control,A03:2021-Injection",212,29,"7,3"
194.237.82.156,40,4.0,"curl,Python-requests,Postman","80,443",server,"GET,POST",eu,"/admin/install,/config.php,/.env","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",187,25,"7,5"
196.168.245.156,40,4.0,"Burp Suite,curl,Python-urllib","80,443,8080",desktop,"GET,POST",eu,"/admin/install,/config.php,/.env","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT","A01:2021-Broken Access Control,A03:2021-Injection",212,29,"7,3"
